timestamp,experiment_name,target_file,prompt_version,config_tag,model,temperature,top_p,max_tokens,latency_ms,prompt_tokens,completion_tokens,total_tokens,invariants_count,parsed_invariants,raw_response_snippet
2026-01-14T00:49:05.968245,ACSL_CoT_Deterministic,96.c,acsl_cot,,qwen3-max,0.0,1.0,,57171.61,558,2326,2884,3,"[""y == 1"", ""j == i * y"", ""i >= 0""]",
2026-01-14T00:50:38.701191,ACSL_CoT_Balanced,96.c,acsl_cot,,qwen3-max,0.7,0.9,,92728.6,558,2815,3373,3,"[""j == i * y"", ""y == 1"", ""i >= 0""]",
2026-01-14T00:52:18.153001,ACSL_CoT_Creative,96.c,acsl_cot,,qwen3-max,1.0,1.0,,99442.83,558,2748,3306,3,"[""y == 1"", ""j == i * y"", ""i >= 0""]",
2026-01-14T15:45:18.700746,ACSL_CoT_Deterministic,96.c,acsl_cot,,glm-4.7,0.0,1.0,,12731.46,549,406,955,3,"[""i >= 0"", ""i <= x"", ""j == i * y""]",
2026-01-14T15:45:27.239760,ACSL_CoT_Balanced,96.c,acsl_cot,,glm-4.7,0.7,0.9,,8536.05,549,521,1070,4,"[""j == i * y"", ""y == 1"", ""i >= 0"", ""j >= 0""]",
2026-01-14T15:45:43.657841,ACSL_CoT_Creative,96.c,acsl_cot,,glm-4.7,1.0,1.0,,16413.63,549,1196,1745,2,"[""0 <= i"", ""j == i * y""]",
2026-01-14T17:44:59.086614,ACSL_CoT_Deterministic,96.c,acsl_cot,,kimi-k2-thinking,0.0,1.0,,289121.46,547,6044,6591,0,[],
2026-01-14T17:49:27.472965,ACSL_CoT_Balanced,96.c,acsl_cot,,kimi-k2-thinking,0.7,0.9,,268384.05,547,5961,6508,5,"[""i >= 0"", ""j >= 0"", ""i == j"", ""j == i * y"", ""y == 1""]",
2026-01-14T17:53:35.514712,ACSL_CoT_Creative,96.c,acsl_cot,,kimi-k2-thinking,1.0,1.0,,248039.11,547,6947,7494,4,"[""y == 1"", ""j == i * y"", ""0 <= i && i <= x + 1"", ""0 <= j && j <= x + 1""]",
2026-01-15T05:05:40.099026,acsl_cot_Balanced,96.c,acsl_cot,qwen3max,qwen3-max,0.7,0.9,,73795.27,558,2176,2734,3,"[""y == 1"", ""j == i * y"", ""i >= 0""]",
2026-01-15T05:05:42.018362,acsl_direct_Balanced,96.c,acsl_direct,qwen3max,qwen3-max,0.7,0.9,,1918.35,348,31,379,3,"[""j == i * y"", ""y == 1"", ""0 <= i""]",
2026-01-15T05:05:44.002603,autoverus_seahorn_v1_Balanced,96.c,autoverus_seahorn_v1,qwen3max,qwen3-max,0.7,0.9,,1983.34,428,24,452,4,"[""j == i * y"", ""y == 1"", ""i >= 0"", ""j >= 0""]",
2026-01-15T05:07:28.220625,loopy_termination_invariants_Balanced,96.c,loopy_termination_invariants,qwen3max,qwen3-max,0.7,0.9,,104216.84,708,3958,4666,0,[],
2026-01-15T05:08:45.407847,seahorn_cot_Balanced,96.c,seahorn_cot,qwen3max,qwen3-max,0.7,0.9,,77182.88,614,2159,2773,3,"[""j == i * y"", ""y == 1"", ""0 <= i && i <= x""]",
2026-01-15T05:09:59.860841,seahorn_cot_fewshot_Balanced,96.c,seahorn_cot_fewshot,qwen3max,qwen3-max,0.7,0.9,,74444.91,835,2470,3305,2,"[""i == j"", ""i >= 0""]",
2026-01-15T05:10:01.656659,seahorn_direct_Balanced,96.c,seahorn_direct,qwen3max,qwen3-max,0.7,0.9,,1795.34,400,24,424,2,"[""j == i * y"", ""i >= 0""]",
2026-01-15T07:17:23.303117,acsl_cot_Balanced,96.c,acsl_cot,glm47,glm-4.7,0.7,0.9,,9710.29,549,645,1194,2,"[""j == y * i"", ""0 <= i""]",
2026-01-15T07:17:24.609712,acsl_direct_Balanced,96.c,acsl_direct,glm47,glm-4.7,0.7,0.9,,1305.59,340,38,378,4,"[""0 <= i"", ""0 <= j"", ""j == i * y"", ""y == 1""]",
2026-01-15T07:17:25.592892,autoverus_seahorn_v1_Balanced,96.c,autoverus_seahorn_v1,glm47,glm-4.7,0.7,0.9,,982.31,420,22,442,4,"[""i == j"", ""y == 1"", ""i >= 0"", ""j >= 0""]",
2026-01-15T07:17:37.176756,loopy_termination_invariants_Balanced,96.c,loopy_termination_invariants,glm47,glm-4.7,0.7,0.9,,11582.97,700,813,1513,6,"[""i == j"", ""y == 1"", ""i >= 0"", ""j >= 0"", ""i <= x"", ""j <= x""]",
2026-01-15T07:17:44.544532,seahorn_cot_Balanced,96.c,seahorn_cot,glm47,glm-4.7,0.7,0.9,,7364.37,606,607,1213,3,"[""i == j"", ""i >= 0"", ""j >= 0""]",
2026-01-15T07:17:49.494368,seahorn_cot_fewshot_Balanced,96.c,seahorn_cot_fewshot,glm47,glm-4.7,0.7,0.9,,4948.06,824,338,1162,0,[],
2026-01-15T07:17:50.678558,seahorn_direct_Balanced,96.c,seahorn_direct,glm47,glm-4.7,0.7,0.9,,1183.19,392,38,430,4,"[""y == 1"", ""j == i"", ""i >= 0"", ""j >= 0""]",
2026-01-15T14:59:34.257873,acsl_cot_Balanced,96.c,acsl_cot,qwenplus,qwen-plus,0.7,0.9,,69851.45,558,2928,3486,3,"[""i == j"", ""y == 1"", ""j == i * y""]",
2026-01-15T14:59:36.035478,acsl_direct_Balanced,96.c,acsl_direct,qwenplus,qwen-plus,0.7,0.9,,1776.71,348,38,386,3,"[""0 <= i && i <= x + 1"", ""j == i * y"", ""y >= 1""]",
2026-01-15T14:59:37.584710,autoverus_seahorn_v1_Balanced,96.c,autoverus_seahorn_v1,qwenplus,qwen-plus,0.7,0.9,,1548.15,428,32,460,5,"[""i >= 0"", ""j >= 0"", ""y == 1"", ""j == i * y"", ""i <= x + 1""]",
2026-01-15T15:00:17.884749,loopy_termination_invariants_Balanced,96.c,loopy_termination_invariants,qwenplus,qwen-plus,0.7,0.9,,40298.77,708,2048,2756,0,[],
2026-01-15T15:00:54.195593,seahorn_cot_Balanced,96.c,seahorn_cot,qwenplus,qwen-plus,0.7,0.9,,36305.68,614,1421,2035,5,"[""y == 1"", ""j == i"", ""j == i * y"", ""i >= 0"", ""j >= 0""]",
2026-01-15T15:01:37.057925,seahorn_cot_fewshot_Balanced,96.c,seahorn_cot_fewshot,qwenplus,qwen-plus,0.7,0.9,,42856.75,835,1624,2459,3,"[""j == i"", ""y == 1"", ""i <= x""]",
2026-01-15T15:01:39.213597,seahorn_direct_Balanced,96.c,seahorn_direct,qwenplus,qwen-plus,0.7,0.9,,2154.8,400,38,438,4,"[""i >= j"", ""y == 1"", ""j >= 0"", ""i >= 0""]",
