timestamp,experiment_name,target_file,prompt_version,config_tag,model,temperature,top_p,max_tokens,latency_ms,prompt_tokens,completion_tokens,total_tokens,invariants_count,parsed_invariants,raw_response_snippet
2026-01-13T22:06:04.478871,ACSL_CoT_Deterministic,59.c,acsl_cot,,qwen3-max,0.0,1.0,,53664.59,598,1618,2216,1,"[""0 <= c && c <= n""]",
2026-01-13T22:06:42.922196,ACSL_CoT_Balanced,59.c,acsl_cot,,qwen3-max,0.7,0.9,,38438.2,598,1430,2028,1,"[""0 <= c && c <= n""]",
2026-01-13T22:07:46.832411,ACSL_CoT_Creative,59.c,acsl_cot,,qwen3-max,1.0,1.0,,63903.9,598,1898,2496,1,"[""0 <= c && c <= n""]",
2026-01-14T09:19:36.591661,ACSL_CoT_Deterministic,59.c,acsl_cot,,kimi-k2-thinking,0.0,1.0,,189689.99,587,7645,8232,3,"[""0 <= c && c <= n"", ""c >= 0"", ""c <= n""]",
2026-01-14T09:23:20.114085,ACSL_CoT_Balanced,59.c,acsl_cot,,kimi-k2-thinking,0.7,0.9,,223519.95,587,7677,8264,2,"[""0 <= c && c <= n"", ""n > 0""]",
2026-01-14T09:25:31.361910,ACSL_CoT_Creative,59.c,acsl_cot,,kimi-k2-thinking,1.0,1.0,,131245.96,587,4765,5352,1,"[""0 <= c && c <= n""]",
2026-01-14T15:02:04.953036,ACSL_CoT_Deterministic,59.c,acsl_cot,,glm-4.7,0.0,1.0,,12718.92,589,609,1198,3,"[""n > 0"", ""0 <= c"", ""c <= n""]",
2026-01-14T15:02:21.677994,ACSL_CoT_Balanced,59.c,acsl_cot,,glm-4.7,0.7,0.9,,16721.54,589,933,1522,2,"[""0 <= c"", ""c <= n""]",
2026-01-14T15:02:42.629852,ACSL_CoT_Creative,59.c,acsl_cot,,glm-4.7,1.0,1.0,,20946.2,589,1298,1887,3,"[""0 <= c"", ""c <= n"", ""n > 0""]",
2026-01-15T01:53:24.110856,acsl_cot_Balanced,59.c,acsl_cot,qwen3max,qwen3-max,0.7,0.9,,34195.85,598,1096,1694,3,"[""0 <= c"", ""c <= n"", ""0 <= c && c <= n""]",
2026-01-15T01:53:25.867458,acsl_direct_Balanced,59.c,acsl_direct,qwen3max,qwen3-max,0.7,0.9,,1755.6,388,18,406,1,"[""0 <= c && c <= n""]",
2026-01-15T01:53:27.291146,autoverus_seahorn_v1_Balanced,59.c,autoverus_seahorn_v1,qwen3max,qwen3-max,0.7,0.9,,1422.88,468,16,484,3,"[""c >= 0"", ""c <= n"", ""n > 0""]",
2026-01-15T01:54:49.781402,loopy_termination_invariants_Balanced,59.c,loopy_termination_invariants,qwen3max,qwen3-max,0.7,0.9,,82489.22,748,2537,3285,0,[],
2026-01-15T01:55:38.144682,seahorn_cot_Balanced,59.c,seahorn_cot,qwen3max,qwen3-max,0.7,0.9,,48358.22,654,1435,2089,1,"[""0 <= c && c <= n""]",
2026-01-15T01:56:06.822317,seahorn_cot_fewshot_Balanced,59.c,seahorn_cot_fewshot,qwen3max,qwen3-max,0.7,0.9,,28674.35,875,831,1706,1,"[""0 <= c && c <= n""]",
2026-01-15T01:56:09.097113,seahorn_direct_Balanced,59.c,seahorn_direct,qwen3max,qwen3-max,0.7,0.9,,2273.82,440,27,467,2,"[""c >= 0"", ""c <= n || c == 1""]",
2026-01-15T06:38:13.749535,acsl_cot_Balanced,59.c,acsl_cot,glm47,glm-4.7,0.7,0.9,,16307.5,589,952,1541,3,"[""c >= 0"", ""c <= n"", ""n > 0""]",
2026-01-15T06:38:15.234299,acsl_direct_Balanced,59.c,acsl_direct,glm47,glm-4.7,0.7,0.9,,1483.92,380,18,398,1,"[""1 <= c && c <= n""]",
2026-01-15T06:38:17.214693,autoverus_seahorn_v1_Balanced,59.c,autoverus_seahorn_v1,glm47,glm-4.7,0.7,0.9,,1979.6,460,16,476,3,"[""c >= 0"", ""c <= n"", ""n > 0""]",
2026-01-15T06:39:16.541160,loopy_termination_invariants_Balanced,59.c,loopy_termination_invariants,glm47,glm-4.7,0.7,0.9,,59325.75,740,4096,4836,2,"[""c >= 1"", ""c <= n""]",
2026-01-15T06:39:25.015219,seahorn_cot_Balanced,59.c,seahorn_cot,glm47,glm-4.7,0.7,0.9,,8472.06,646,407,1053,2,"[""c >= 0"", ""c <= n""]",
2026-01-15T06:39:41.554477,seahorn_cot_fewshot_Balanced,59.c,seahorn_cot_fewshot,glm47,glm-4.7,0.7,0.9,,16537.09,864,583,1447,1,"[""c >= 0""]",
2026-01-15T06:39:42.760909,seahorn_direct_Balanced,59.c,seahorn_direct,glm47,glm-4.7,0.7,0.9,,1205.41,432,36,468,3,"[""c >= 0"", ""c <= n"", ""(c == n) || (c > 0)""]",
2026-01-15T12:29:30.682731,acsl_cot_Balanced,59.c,acsl_cot,qwenplus,qwen-plus,0.7,0.9,,56611.57,598,2698,3296,4,"[""c <= n"", ""c >= 0"", ""0 <= c && c <= n"", ""n > 0""]",
2026-01-15T12:29:32.035272,acsl_direct_Balanced,59.c,acsl_direct,qwenplus,qwen-plus,0.7,0.9,,1351.73,388,22,410,2,"[""c >= 0"", ""c <= n""]",
2026-01-15T12:29:33.536421,autoverus_seahorn_v1_Balanced,59.c,autoverus_seahorn_v1,qwenplus,qwen-plus,0.7,0.9,,1500.12,468,46,514,4,"[""c >= 0"", ""c <= n || c == 1"", ""(c == n) || (c < n && c >= 0)"", ""(c == 1) || (c != n)""]",
2026-01-15T12:30:21.260312,loopy_termination_invariants_Balanced,59.c,loopy_termination_invariants,qwenplus,qwen-plus,0.7,0.9,,47722.28,748,2048,2796,0,[],
2026-01-15T12:31:12.622113,seahorn_cot_Balanced,59.c,seahorn_cot,qwenplus,qwen-plus,0.7,0.9,,51355.88,654,2014,2668,2,"[""0 <= c && c <= n"", ""n > 0""]",
2026-01-15T12:31:38.329127,seahorn_cot_fewshot_Balanced,59.c,seahorn_cot_fewshot,qwenplus,qwen-plus,0.7,0.9,,25703.29,875,916,1791,1,"[""0 <= c && c <= n""]",
2026-01-15T12:31:39.852383,seahorn_direct_Balanced,59.c,seahorn_direct,qwenplus,qwen-plus,0.7,0.9,,1522.39,440,22,462,2,"[""c >= 0"", ""c <= n""]",
